7,2,0,1.2,1.2,0
5,2,0,1.23,1.23,0
20000,25000,10000,1.3,1.3,1.3
5000,3200,1500,1.7,1.7,1.7
50000,40000,50000,1.7,1.7,1.7
9000,6000,3000,1.5,1.5,1.5
25000,13000,7000,1.09,1.09,1.09
50000,25000,15000,1.5,1.5,1.5
75000,20000,25000,1.09,1.09,1.09
150000,30000,15000,1.12,1.12,1.12
80000,35000,60000,1.5,1.5,1.5
250000,125000,125000,1.2,1.2,1.2
5000,2500,500,1.3,1.3,1.3
7000,10000,5000,1.5,1.5,1.5
15000,10000,5000,1.3,1.3,1.3
20000,15000,7500,1.3,1.3,1.3
25000,20000,10000,1.2,1.2,1.2
35000,25000,15000,1.5,1.5,1.5
70000,40000,20000,1.3,1.3,1.3
80000,50000,20000,1.5,1.5,1.5
320000,240000,100000,1.5,1.5,1.5
320000,240000,100000,1.5,1.5,1.5
120000,30000,25000,1.5,1.5,1.5
100000,40000,30000,1.3,1.3,1.3
200000,100000,100000,1.3,1.3,1.3
160000,120000,50000,1.5,1.5,1.5
160000,120000,50000,1.5,1.5,1.5
320000,240000,100000,1.5,1.5,1.5
300000,180000,120000,1.5,1.5,1.5
500000,300000,200000,1.3,1.3,1.3
9,3,0,1.2,1.2,0
7,2,0,1.2,1.2,0
40000,10000,15000,1.3,1.3,1.3
5000,3800,1000,1.7,1.7,1.7
50000,40000,50000,1.65,1.65,1.65
10000,8000,1000,1.4,1.4,1.4
20000,15000,10000,1.2,1.2,1.2
50000,35000,15000,1.5,1.5,1.5
85000,44000,25000,1.4,1.4,1.4
120000,50000,20000,1.4,1.4,1.4
250000,150000,100000,1.8,1.8,1.8
250000,125000,125000,1.5,1.5,1.5
10000,6000,1000,1.5,1.5,1.5
7500,12500,5000,1.5,1.5,1.5
15000,10000,5000,1.5,1.5,1.5
20000,15000,7500,1.3,1.3,1.3
25000,20000,10000,1.5,1.5,1.5
50000,50000,20000,1.5,1.5,1.5
70000,40000,20000,1.5,1.5,1.5
160000,120000,50000,1.5,1.5,1.5
75000,55000,25000,1.5,1.5,1.5
85000,40000,35000,1.5,1.5,1.5
120000,30000,25000,1.5,1.5,1.5
100000,40000,30000,1.5,1.5,1.5
200000,100000,100000,1.2,1.2,1.2
220000,110000,110000,1.3,1.3,1.3
240000,120000,120000,1.3,1.3,1.3
250000,250000,250000,1.4,1.4,1.4
500000,300000,200000,1.5,1.5,1.5
300000,180000,120000,1.7,1.7,1.7
6,2,0,1.21,1.21,0
5,2,0,1.18,1.18,0
30000,20000,10000,1.3,1.3,1.3
5000,3800,1000,1.8,1.8,1.8
50000,40000,50000,1.8,1.8,1.8
7500,7000,1000,1.3,1.3,1.3
35000,15000,10000,1.5,1.5,1.5
50000,20000,30000,1.07,1.07,1.07
100000,10000,3000,1.14,1.14,1.14
100000,40000,20000,1.5,1.5,1.5
55000,50000,30000,1.5,1.5,1.5
250000,125000,125000,1.4,1.4,1.4
10000,6000,1000,1.5,1.5,1.5
7500,12500,5000,1.3,1.3,1.3
15000,10000,5000,1.5,1.5,1.5
20000,15000,7500,1.3,1.3,1.3
160000,120000,50000,1.5,1.5,1.5
50000,50000,20000,1.5,1.5,1.5
70000,40000,20000,1.3,1.3,1.3
160000,120000,50000,1.5,1.5,1.5
160000,120000,50000,1.5,1.5,1.5
85000,40000,35000,1.2,1.2,1.2
120000,30000,25000,1.3,1.3,1.3
160000,120000,50000,1.5,1.5,1.5
200000,100000,100000,1.5,1.5,1.5
160000,120000,50000,1.5,1.5,1.5
320000,240000,100000,1.5,1.5,1.5
320000,240000,100000,1.5,1.5,1.5
500000,300000,200000,1.5,1.5,1.5
300000,180000,120000,1.7,1.7,1.7
4,3,0,1.21,1.21,0
6,3,0,1.21,1.21,0
20000,20000,30000,1.3,1.3,1.3
7500,5000,800,1.8,1.8,1.8
60000,30000,50000,1.8,1.8,1.8
8500,5000,3000,1.25,1.25,1.25
15000,15000,20000,1.2,1.2,1.2
75000,25000,30000,1.05,1.05,1.05
87500,25000,30000,1.2,1.2,1.2
150000,30000,30000,1.5,1.5,1.5
75000,50000,55000,1.2,1.2,1.2
500000,250000,250000,1.4,1.4,1.4
10000,6000,1000,1.5,1.5,1.5
7500,12500,5000,1.5,1.5,1.5
15000,10000,5000,1.5,1.5,1.5
20000,15000,7500,1.5,1.5,1.5
25000,20000,10000,1.5,1.5,1.5
50000,50000,20000,1.3,1.3,1.3
70000,40000,20000,1.5,1.5,1.5
80000,50000,20000,1.2,1.2,1.2
320000,240000,100000,1.5,1.5,1.5
85000,40000,35000,1.2,1.2,1.2
120000,30000,25000,1.5,1.5,1.5
100000,40000,30000,1.5,1.5,1.5
200000,100000,100000,1.5,1.5,1.5
160000,120000,50000,1.5,1.5,1.5
240000,120000,120000,1.5,1.5,1.5
320000,240000,100000,1.5,1.5,1.5
500000,300000,200000,1.5,1.5,1.5
300000,180000,120000,1.7,1.7,1.7
